restaurant_name,sandwich_name,category,is_featured,image_url,nyt_link,address,website,price,description
Regina’s Grocery,Uncle Rocco,Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/deli1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/reginas-grocery.html,Multiple locations,http://reginasgrocery.com,18,"What does an Italian deli look like in 2024? At Regina’s Grocery, a small chain of Italian sandwich shops from Roman Grandinetti, a native of Bensonhurst, it looks like breaking up with Boar’s Head and forgoing gut-busting mega-sandwiches for better ingredients in a slightly smaller but no less delicious package. The Uncle Rocco, a caper-dotted Italian tuna sandwich served on a hero with mozzarella, roasted red peppers, spicy Calabrian pepper paste and arugula, is oily perfection. NIKITA RICHARDSON"
Filoncino Cafe,The SoHo,Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/italian5-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/filoncino-cafe.html,4569 Amboy Road (Retford Avenue),http://filoncino.com/,15,"Royal Crown Bakery is to Staten Island what Junior’s is to Brooklyn, sitting squarely at the center of every kind of celebration from first birthdays to retirement parties. Though the original location was in Bensonhurst, its arrival on the island heralded a new love affair with freshly baked stirato and all manner of buttery Italian cookies. You can always get a chicken cutlet sandwich at Royal Crown, but the sandwich is nearer to perfection at the bakery’s offshoot cafe on the south shore, where oozy mozzarella and a tangy-sweet balsamic vinegar glaze soak into a crisp chicken cutlet swaddled in freshly baked bread. It’s so simple, so effective and a superlative version of an old-school sandwich. NIKITA RICHARDSON"
Alidoro,Michelangelo,Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/italian1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/alidoro.html,Multiple locations,https://www.alidoronyc.com/,14,"You can throw a dart at Alidoro’s menu blindfolded and hit an excellent sandwich. When your eyes are uncovered, though, look closely at the ones made with prosciutto. Alidoro understands that prosciutto needs to be sliced and folded with care so when you bite down it doesn’t come zooming out of the bread in a big, stringy pink wad. On our more Spartan days, we gravitate toward the Galileo, which augments the ham with fresh mozzarella and nothing else. When we’re seeking thrills, we like the Alidoro, which buries the prosciutto under sweet peppers, hot peppers, arugula leaves and curls of shaved fennel, all inside bread slathered with mushroom paste and spicy-chile spread. But when life hasn’t pushed us to either extreme, we heed the call of the Michelangelo: provolone and hot peppers with arugula over layers of that meticulously arranged prosciutto. PETE WELLS"
"Sal, Kris and Charlie’s Deli",The Bomb,Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/deli5-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/sal-kris-and-charlies-deli.html,33-12 23rd Avenue (33rd Street),https://www.facebook.com/salkrisandcharlies/,17,"In the pantheon of comically large sandwiches, the Bomb, from this tiny deli in Astoria, rules supreme. It’s not unusual to see pictures on social media of this 14-inch behemoth set next to newborns or cradled in the arms of an influencer, neither of whom is likely to finish the whole thing. With its five meats, two cheeses, two peppers and all the other hero fixings, the Bomb is ultimately a deliciously messy gimmick — and a bandwagon worth hopping on for the story alone. NIKITA RICHARDSON"
Baby Blues Luncheonette,HLT,Veg In,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/baby-blues-luncheonette.html,,,,"When Costa Damaskos moved to New York City from Australia a decade ago, it was his first exposure to the city’s Greek-owned luncheonettes and diners. So when many closed during the pandemic, he and his business partner, Jake Marsiglia, saw an opportunity to preserve an element of local history. At Baby Blues Luncheonette, they serve American classics with a Greek twist, like the HLT sandwich, a play on the BLT that is made with grilled halloumi. The cheese receives a hit of fresh lemon juice before it’s added, along with garlic aioli, crisp arugula tossed in a Greek salad dressing, slices of red onion and juicy heirloom tomatoes. It’s served between two slices of Pullman bread toasted with mayo. CHRISTINA MORALES"
Court Street Grocers,Veg-Italian Sub,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/vegetarian1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/court-street-grocers.html,Multiple locations,http://courtstreetgrocers.com,16,"Many of the offerings at Court Street Grocers would qualify as the best sandwiches in New York City. The veg-Italian — an Italian combo that swaps the meat for a plank of roasted squash (or sweet potato, depending on the season) — stands out because it’s a vegetarian sandwich that doesn’t feel lacking. Here, the roasted vegetables, with their oiled, caramelized edges, provide the creamy, rich and slightly chewy qualities of cured meat; their sweetness nicely balances the three kinds of cheese, arugula and thin slivers of onion. Many customers have told the shop’s co-owner Eric Finkelstein that they like this version better than the meaty one. They’re right. PRIYA KRISHNA"
Sunday C&C Eatery,Crispy Chick’n,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/vegetarian5-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/sunday-cc-eatery.html,348 Bowery (Great Jones Street),https://eatatsunday.square.site/,16,"For all the talk of lab-grown beef and perfecting the veggie burger, it’s chicken that is really at the heart of the American diet. So any plant-based alternative is welcome, whether going meat-free is a choice for life or just for the day. The Crispy Chick’n sandwich at this inventive kiosk inside Bowery Market isn’t trying to imitate its meaty brethren as much as to capture its essence, which has always been about shattering crust (in this case a wheat-based patty that’s been dredged and fried) under something acidic (usually pickles, but here, salsa acevichada). NIKITA RICHARDSON"
Marlow & Sons,Scuttlebutt,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/onlyny3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/marlow-sons.html,81 Broadway (Berry Street),https://www.marlowandsons.com/,15,"How does a sandwich becomes a classic? Born in 2009 Williamsburg at Saltie, this focaccia sandwich was meant to be a seasonally changing vegetarian option. A clean-out-the-fridge kind of sandwich that the chef Rebecca Collerton ate as a child, it had hard-boiled eggs, pickled beets and carrots, capers, olives and a mix of herbs held in check by a pimentón aioli. Ms. Collerton and her partners, Caroline Fidanza and Elizabeth Shula, couldn’t change it: “People would get very, very mad, send us angry emails and would cry,” Ms. Fidanza said. It remained a best seller until Saltie closed in 2017, a year before Ms. Collerton died from cancer. But in 2020, Ms. Fidanza brought the sandwich back as a pandemic grab-and-go option at Marlow & Sons, where the Scuttlebutt has charmed once again. SARA BONISTEEL"
Superiority Burger,Collard greens sandwich on focaccia,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/vegetarian3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/superiority-burger.html,119 Avenue A (East Seventh Street),https://www.superiorityburger.com/,22,"For some regulars, of which there are many, Superiority Burger’s collard greens sandwich trumps the titular burger. In 2015, Brooks Headley, formerly the pastry chef at Del Posto, stirred meatless mania when he opened Superiority Burger as a tiny East Village sandwich shop. The restaurant has since moved into a much bigger space on Avenue A with a full bar and a much larger list of dishes, including the collard greens sandwich: Rich, cooked-seemingly-forever greens are held together with strands of melted Cooper sharp cheese. The sesame focaccia that contains it all is, as Pete Wells once wrote, “the object of a small cult” — it functions as a reminder of the original sandwich shop and its well-deserved frenzy. BECKY HUGHES"
Houseman,French Onion Sandwich,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/vegetarian6-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/houseman.html,508 Greenwich Street (Spring Street),http://housemanrestaurant.com/,23,"How to improve on the minimalist perfection of a grilled cheese? Extra ingredients would be superfluous to the pure harmony of melty cheese oozing from toasty, oily bread. And yet the French onion sandwich at Houseman, in Hudson Square, is the brilliant exception to prove the rule. One afternoon in 2015, the chef Ned Baldwin, inspired by gooey cheese-topped French onion soup, slid some caramelized onions he had on hand for a burger in between slices of brioche and funky raclette cheese. He griddled it and served it for staff meal, where it was such a hit that he moved it to the lunch menu — with a few canny tweaks. Now the sandwich is seasoned with grainy mustard for tang and maple syrup for sweetness, and the brioche is coated in Parmesan, then crisped, frico-like, in the hot pan. It’s a maximalist grilled cheese that manages to keep its balance. MELISSA CLARK"
